x,y,z
49279796,55309404.0,13774000.0
49183704,55366304.0,13955698.0
49086664,55209072.0,14774000.0
49033040,55107884.0,15214117.0
49030016,55106788.0,15229252.0
49036656,54879616.0,15774000.0
48903396,54848964.0,16282058.0
48916988,54599860.0,16774000.0
48855000,54616464.0,16945832.0
48663812,54548000.0,17737080.0
48656848,54541708.0,17774000.0
48570168,54548000.0,18017640.0
48283396,54629784.0,18692214.0
48275968,54629784.0,18709626.0
48284624,54584580.0,18774000.0
48242880,54548000.0,18955604.0
48183040,54179372.0,19774000.0
48132224,53910860.0,20411138.0
48135304,53839008.0,20528702.0
47922108,53994652.0,20774000.0
48132188,53548000.0,21031178.0
48274332,53128668.0,21277392.0
48085636,53183004.0,21685372.0
48085636,53123816.0,21774000.0
47968480,52936816.0,22345218.0
47979820,52641428.0,22774000.0
47855000,52615144.0,23053956.0
